,label,x_mean,x_std,y_mean,y_std,z_mean,z_std
28,jogging,-0.5251721270630757,1.7515429228419146,-9.456885258754095,3.155458432912184,-1.9170931792072952,1.7646019401289104
29,jogging,-0.46748305002540336,1.5725024979460953,-9.47544516430479,3.327931038894601,-1.9875092495329338,1.4944359883122569
30,jogging,-0.498112865474696,1.4908104899694887,-9.408258568962415,2.9677240948559533,-2.1147991591026076,1.4040107648460922
31,jogging,-0.6309487687597674,1.675036093270422,-9.49151415904363,2.967127394305488,-2.22815742961457,1.3793708035985304
32,jogging,-0.9542090821483484,1.7759457632377502,-9.388059924840928,2.9983116510415084,-2.1017459845593356,1.5620688554983628
33,jogging,-0.7557473193332552,1.693591909888116,-9.682982468922933,2.7192226339445513,-2.0694402088336648,1.019423112858517
34,jogging,-0.6930703103120127,1.9202821044202614,-9.441751077572505,2.7010754438389823,-2.2240832911605635,1.4586004905317627
35,jogging,-0.8492413013372571,1.9302500019586633,-9.62067296898365,3.411298031477138,-2.079735276445746,1.5617807134181023
36,jogging,-1.0913828743202614,1.503613462115485,-9.252985036770502,2.9287791714248743,-1.7314148340125879,1.6817485182760437
37,jogging,-0.8705437048804014,1.5955584276154147,-9.522721746762594,2.8714436778747006,-2.0748989946891867,1.4096032099802935
38,jogging,-0.8806392578159771,1.7062751369299884,-9.660683676401774,2.929270349673212,-1.8748035765858366,1.3728971948864284
39,jogging,-0.7916547654817501,1.8319258786379384,-9.65165753364563,2.674285387597533,-2.005339446387564,1.404851854766584
40,jogging,-1.393133167628989,1.4122907646395464,-9.248733337322872,3.094651948706275,-1.785735289317866,1.733002847336534
41,jogging,-1.0820355211369073,1.9145034949159705,-9.349381518165272,3.2279224686992074,-1.8951064142088097,2.007045558942456
42,jogging,-1.0337759964599587,1.3641065996315,-9.517122548182806,2.764037471327307,-2.033283772137016,1.1902375985234341
43,jogging,-1.0592842112929406,1.6094271938061213,-9.691094389518103,2.9817215325313406,-2.093144799190263,1.4280645934159204
44,jogging,-1.071831432133913,1.671741956150786,-9.490837412993114,2.74277541243193,-2.054972047088668,1.2183049166947073
45,jogging,-1.032838658032318,1.881794968345456,-9.37713837703069,2.841578043271399,-2.168875392563641,1.5753913326614213
46,jogging,-1.3825756707104544,1.9860626940599349,-9.285484298467637,2.564664542700331,-2.3023920400999485,1.4451572424686165
47,jogging,-1.1142741454341731,1.7620613683461763,-9.649362978272602,2.6892157695592966,-2.2687642532542966,1.438340303618903
48,vehicle,6.221949632167816,1.0163148709014496,1.7561569155023122,1.8737460334599285,-7.351723531087239,0.7706608123281505
49,vehicle,6.059237692952156,1.2208493275745758,3.6838703616460164,0.6820552834341974,-6.752255314191183,0.749309762631277
50,vehicle,6.509112168153126,0.48020988078873544,2.805262181361516,0.36645816305027895,-6.722084369659424,0.5695439738874428
51,vehicle,6.370017058054607,0.5775416970366637,2.3230739436546965,0.3026776760991868,-6.921030588150025,0.6663980322230784
52,vehicle,6.265769487222035,0.47339415554835035,1.3621850489079952,0.7579644624761771,-7.495335727532705,0.631340610043923
53,vehicle,5.891196625232697,0.20429566941633692,1.4955460566530627,1.0221036634170497,-7.6966002368927,0.4454593775617921
