relative_time,AccX,AccY,AccZ
34673,-2.9682116508483887,-11.070788383483888,1.7058687210083008
34692,-3.538031578063965,-11.104307174682615,-0.0658405497670173
34712,-4.821323871612549,-11.765107154846191,-0.645237386226654
34732,-4.859631061553955,-13.318943977355955,-0.2382230758666992
34752,-1.0648212432861328,-13.785813331604004,0.9828197956085204
34772,2.416347980499268,-15.365986824035645,2.653972625732422
34791,3.359663486480713,,
34792,,-15.626954078674316,2.7904419898986816
34811,-3.490147590637207,-11.403582572937012,-0.0514753349125385
34831,-8.9249849319458,-9.727641105651855,-2.867056608200073
34851,-6.186018466949463,-10.666168212890623,-1.1504138708114624
34871,-2.609081268310547,-12.804190635681152,0.9469067454338074
34891,-0.5620388388633728,-14.147337913513184,5.886145114898682
34910,0.1849520802497863,,
34911,,-13.953407287597656,8.644265174865723
34930,-2.980182647705078,-14.06114673614502,4.404133796691895
34950,-4.766256809234619,-12.30859088897705,0.5734112858772278
34970,-4.976946830749512,-11.432312965393066,0.3962403833866119
34990,-3.906738519668579,-10.38844108581543,0.0203507151454687
35010,-2.558803081512451,-9.65581512451172,-0.1256955862045288
35030,-1.5412673950195312,-9.96706199645996,-0.4537012279033661
35049,-0.5859808921813965,,
35050,,-10.512939453125,-0.1663970202207565
35069,0.1346738487482071,-11.571176528930664,-0.3866635859012604
35089,0.5440823435783386,-12.447454452514648,-0.2454056739807129
35109,-0.739209771156311,-11.796232223510742,0.6332663297653198
35129,-2.1996726989746094,-10.101137161254885,1.04028058052063
35148,-4.119822502136231,-8.185775756835938,0.3459621369838714
35168,-4.823718070983887,-6.366182327270508,-0.2765302956104278
35188,-4.203619480133057,-5.200206279754639,-0.6404489278793335
35208,-3.293823003768921,-4.639962673187256,-0.9588778018951416
35228,-2.206855535507202,-4.24970817565918,-1.4089876413345337
35248,-1.5364789962768557,-3.725377798080444,-1.4879963397979736
35267,-1.7615338563919067,-3.313575267791748,
35268,,,-1.655590534210205
35287,-2.2882583141326904,-3.136404275894165,-1.8614917993545528
35307,-2.211643934249878,-3.011905670166016,-2.852691411972046
35327,-1.7735048532485962,-2.741360902786255,-4.071340084075928
35347,-1.3162124156951904,-2.3487119674682617,-5.591658115386963
35367,-1.0097545385360718,-2.7078421115875244,-7.574057102203369
35387,-2.0655975341796875,-3.3901896476745605,-9.285911560058594
35406,-4.263474464416504,-5.224148273468018,-9.264363288879396
35426,-5.89392614364624,-6.426037311553955,-9.307458877563477
35447,-6.248267650604248,-5.5976433753967285,-4.0545806884765625
35465,-5.1565117835998535,,
35466,,-0.9457096457481384,0.0323217213153839
35485,-10.648810386657717,,
35486,,-5.063736438751221,-16.109386444091797
35505,-14.017452239990234,-37.17955780029297,-12.235568046569824
35525,-5.386355400085449,-29.53487205505371,11.15338897705078
35545,-2.305017709732056,-1.0342950820922852,-4.325125217437744
35565,0.2232593148946762,3.064578056335449,1.0618284940719604
35585,-0.5333084464073181,,
35604,-4.055179119110107,,
35605,,-12.85207462310791,0.9564836025238036
35624,-3.207631826400757,-18.49281311035156,1.2701239585876465
35644,-0.961870551109314,-16.972496032714844,-1.0546458959579468
35664,-0.1143231317400932,-11.104307174682615,-1.1480196714401243
35684,-0.4375403523445129,-6.335057735443115,-1.258152961730957
35703,-0.7918822169303894,,
35704,,-4.599261283874512,-1.5454572439193726
35723,-1.2324153184890747,-5.193023681640625,
35724,,,-1.657984733581543
35743,-2.221220731735229,-6.837840080261231,-2.517503023147583
35763,-3.660135746002197,-8.53293514251709,-2.986766576766968
35783,-4.950610637664795,-10.010157585144045,-2.998737573623657
35803,-5.45339298248291,-10.503362655639648,-2.165555477142334
35823,-4.74231481552124,-9.69651699066162,-0.8080430626869202
35842,-3.7415387630462646,,
35843,,-9.100360870361328,0.0466869324445724
35862,-2.4893712997436523,-8.951920509338379,0.3268085420131683
35882,-0.7104793787002563,-9.057265281677246,0.2190694510936737
35902,0.2424129247665405,-10.077195167541504,0.1137245818972587
35922,-0.1885433793067932,-10.596736907958984,0.1113303825259208
35942,-2.185307502746582,,
35943,,-9.86650562286377,-0.0730231553316116
35961,-4.275445461273193,-8.89685344696045,-0.2166752517223358
35981,-4.756680011749268,-8.216899871826172,-0.2669534981250763
36001,-4.069544315338135,-8.252813339233398,-0.1496376097202301
36021,-3.071162223815918,-8.547300338745117,0.2334346622228622
36041,-1.7926585674285889,-9.069235801696776,0.4991910457611084
36060,-0.6649895310401917,-9.418789863586426,
36061,,,0.6189011335372925
36080,-0.1550245583057403,-9.569623947143556,
36081,,,0.6763619780540466
36100,-0.9570821523666382,-10.156203269958496,0.9373299479484558
36120,-2.3265655040740967,-10.36449909210205,1.2725181579589844
36140,-3.64577054977417,-10.220847129821776,1.258152961730957
36160,-3.4853591918945312,-10.256759643554688,1.191115379333496
